cruise,station,type,time,lon,lat,local_cdi_ID,EDMO_code,bottle_depth,sensor_pressure,sensor_pressure_flag,potential_temperature,potential_temperature_flag,practical_salinity,practical_salinity_flag,sigma_theta,sigma_theta_flag,uncalibrated_CTD_temperature,uncalibrated_CTD_temperature_flag
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,35.5,1,16.582,1,35.512,1,26.007,1,16.587,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,36.5,1,16.581,1,35.512,1,26.007,1,16.587,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,37.5,1,16.579,1,35.512,1,26.008,1,16.585,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,38.5,1,16.579,1,35.512,1,26.008,1,16.585,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,39.5,1,16.578,1,35.512,1,26.008,1,16.584,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,40.5,1,16.579,1,35.512,1,26.008,1,16.586,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,41.5,1,16.577,1,35.512,1,26.008,1,16.584,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,42.5,1,16.577,1,35.511,1,26.008,1,16.584,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,43.5,1,16.576,1,35.512,1,26.008,1,16.583,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,44.5,1,16.575,1,35.512,1,26.009,1,16.583,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,45.5,1,16.575,1,35.512,1,26.009,1,16.582,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,46.5,1,16.574,1,35.512,1,26.009,1,16.582,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,47.5,1,16.573,8,35.512,8,26.009,1,16.581,8
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,48.5,1,16.572,1,35.512,1,26.009,1,16.58,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,49.5,1,16.569,1,35.512,1,26.010,1,16.577,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,50.5,1,16.567,1,35.511,1,26.010,1,16.575,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,51.5,1,16.549,1,35.513,1,26.016,1,16.557000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,52.5,1,   ,9,   ,9,   ,9,16.067999999999998,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,53.5,1,   ,9,   ,9,   ,9,15.482000000000001,8
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,54.5,1,   ,9,   ,9,   ,9,14.897,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,55.5,1,   ,9,   ,9,   ,9,14.614,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,56.5,1,   ,9,   ,9,   ,9,14.397,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,57.5,1,   ,9,   ,9,   ,9,14.107999999999999,1
